ym,year,month,flights,dep_delayed,arr_delayed,dep_delay_rate,arr_delay_rate,dep_delay_hours_mean,dep_delay_hours_std,cancelled_total,cancel_carrier_pct,cancel_weather_pct,cancel_nas_pct,cancel_security_pct
2019-01-01,2019,1,267,38,51,14.232209737827715,19.10112359550562,0.5531531531531532,0.8314438655984945,7,14.285714285714286,71.42857142857143,14.285714285714286,0.0
2019-02-01,2019,2,267,63,65,23.59550561797753,24.344569288389515,0.6441358024691358,1.0004524283262022,8,12.5,75.0,12.5,0.0
2019-03-01,2019,3,267,42,38,15.730337078651685,14.232209737827715,0.4294117647058823,0.5630877121311257,6,66.66666666666667,33.333333333333336,0.0,0.0
2019-04-01,2019,4,267,47,41,17.60299625468165,15.355805243445692,0.5402298850574713,0.6256601254141027,9,11.11111111111111,77.77777777777777,11.11111111111111,0.0
2019-05-01,2019,5,267,69,66,25.84269662921348,24.719101123595507,0.8703883495145631,1.1360787873667764,10,50.0,50.0,0.0,0.0
2019-06-01,2019,6,267,62,60,23.220973782771537,22.471910112359552,0.6210280373831776,0.8552413823346263,5,0.0,60.0,40.0,0.0
2019-07-01,2019,7,267,55,54,20.59925093632959,20.224719101123597,0.80993265993266,1.2555882324544139,6,50.0,33.333333333333336,16.666666666666668,0.0
2019-08-01,2019,8,267,50,39,18.726591760299627,14.606741573033707,0.8545098039215685,1.9586505792262359,5,20.0,60.0,20.0,0.0
2019-09-01,2019,9,267,35,40,13.108614232209737,14.9812734082397,0.5613247863247863,0.8939975142479734,6,0.0,83.33333333333333,16.666666666666668,0.0
2019-10-01,2019,10,267,40,43,14.9812734082397,16.10486891385768,0.44829545454545455,0.5680906144146352,2,0.0,100.0,0.0,0.0
2019-11-01,2019,11,267,45,44,16.853932584269664,16.47940074906367,0.8077380952380954,1.820718642466184,3,66.66666666666667,33.333333333333336,0.0,0.0
2019-12-01,2019,12,267,58,58,21.722846441947567,21.722846441947567,0.7295238095238095,1.1286651056158867,1,0.0,100.0,0.0,0.0
2020-01-01,2020,1,267,35,41,13.108614232209737,15.355805243445692,0.6175555555555555,1.1144690400550574,4,0.0,100.0,0.0,0.0
2020-02-01,2020,2,267,27,31,10.112359550561798,11.610486891385769,0.4270531400966183,0.6074234496087574,0,,,,
2020-03-01,2020,3,267,12,17,4.49438202247191,6.367041198501872,0.5785714285714286,1.0620809164163874,38,2.6315789473684212,2.6315789473684212,5.2631578947368425,89.47368421052632
2020-04-01,2020,4,267,7,8,2.6217228464419478,2.9962546816479403,0.5059523809523809,0.6164624451464552,106,2.830188679245283,1.8867924528301887,0.9433962264150944,94.33962264150944
2020-05-01,2020,5,267,15,12,5.617977528089888,4.49438202247191,0.6428571428571429,0.7707143361125942,14,0.0,0.0,21.428571428571427,78.57142857142857
2020-06-01,2020,6,267,15,11,5.617977528089888,4.119850187265918,0.21766666666666665,0.2162190562187081,0,,,,
2020-07-01,2020,7,267,21,24,7.865168539325842,8.98876404494382,0.41557971014492756,0.4993254978111558,1,0.0,0.0,0.0,100.0
2020-08-01,2020,8,267,18,21,6.741573033707865,7.865168539325842,0.5394736842105263,0.75495779820235,2,0.0,50.0,0.0,50.0
2020-09-01,2020,9,267,15,14,5.617977528089888,5.2434456928838955,0.35657894736842105,0.4548626079349241,2,0.0,50.0,50.0,0.0
2020-10-01,2020,10,267,19,18,7.116104868913857,6.741573033707865,0.5361111111111111,1.4524342554780234,0,,,,
2020-11-01,2020,11,267,16,19,5.992509363295881,7.116104868913857,0.7849462365591398,1.138284567352295,0,,,,
2020-12-01,2020,12,267,20,25,7.49063670411985,9.363295880149813,0.4274509803921569,0.6460978901529788,0,,,,
2021-01-01,2021,1,267,21,26,7.865168539325842,9.737827715355806,1.2130303030303031,2.8263779750614497,4,25.0,50.0,0.0,25.0
2021-02-01,2021,2,267,37,40,13.857677902621722,14.9812734082397,0.5992537313432835,1.5105198807251203,16,0.0,100.0,0.0,0.0
2021-03-01,2021,3,267,28,27,10.486891385767791,10.112359550561798,0.5333333333333333,0.9913737284639613,4,25.0,75.0,0.0,0.0
2021-04-01,2021,4,267,19,20,7.116104868913857,7.49063670411985,0.396045197740113,0.6217046380121145,2,50.0,0.0,0.0,50.0
2021-05-01,2021,5,267,45,44,16.853932584269664,16.47940074906367,0.5152610441767068,0.7457976433268281,1,0.0,100.0,0.0,0.0
2021-06-01,2021,6,267,72,69,26.96629213483146,25.84269662921348,0.6941176470588235,0.9812186114434458,5,60.0,0.0,40.0,0.0
2021-07-01,2021,7,267,62,67,23.220973782771537,25.093632958801496,0.7642666666666666,1.1531352462124067,2,0.0,50.0,50.0,0.0
2021-08-01,2021,8,267,57,55,21.348314606741575,20.59925093632959,0.6974926253687316,1.2534777439421192,7,42.857142857142854,42.857142857142854,14.285714285714286,0.0
2021-09-01,2021,9,267,24,24,8.98876404494382,8.98876404494382,0.4765536723163842,0.9707164408147634,8,37.5,62.5,0.0,0.0
2021-10-01,2021,10,267,56,42,20.973782771535582,15.730337078651685,0.6658950617283951,1.5440509629595451,9,66.66666666666667,22.22222222222222,11.11111111111111,0.0
2021-11-01,2021,11,267,32,37,11.985018726591761,13.857677902621722,0.5496336996336996,1.478399990192054,2,100.0,0.0,0.0,0.0
2021-12-01,2021,12,267,65,54,24.344569288389515,20.224719101123597,0.5850666666666667,0.8849240698042949,3,66.66666666666667,33.333333333333336,0.0,0.0
2022-01-01,2022,1,267,58,61,21.722846441947567,22.846441947565545,0.7753205128205128,1.4145796177591667,11,27.272727272727273,72.72727272727273,0.0,0.0
2022-02-01,2022,2,267,55,50,20.59925093632959,18.726591760299627,0.52,0.7153676269938707,11,9.090909090909092,90.9090909090909,0.0,0.0
2022-03-01,2022,3,267,69,65,25.84269662921348,24.344569288389515,0.667528735632184,0.796146652269986,6,16.666666666666668,50.0,33.333333333333336,0.0
2022-04-01,2022,4,267,63,60,23.59550561797753,22.471910112359552,0.6235119047619048,0.8394268313929484,1,100.0,0.0,0.0,0.0
2022-05-01,2022,5,267,52,46,19.475655430711612,17.228464419475657,0.7877777777777778,2.38996887235508,5,60.0,20.0,20.0,0.0
2022-06-01,2022,6,267,65,58,24.344569288389515,21.722846441947567,0.661864406779661,1.1475749684194914,8,37.5,50.0,12.5,0.0
2022-07-01,2022,7,267,62,59,23.220973782771537,22.09737827715356,0.5709480122324159,0.6974136658729314,7,42.857142857142854,42.857142857142854,14.285714285714286,0.0
2022-08-01,2022,8,267,53,54,19.850187265917604,20.224719101123597,0.8202508960573477,1.344814359309352,8,12.5,75.0,12.5,0.0
2022-09-01,2022,9,267,38,42,14.232209737827715,15.730337078651685,0.43458781362007165,0.7095247293369691,1,0.0,100.0,0.0,0.0
2022-10-01,2022,10,267,44,41,16.47940074906367,15.355805243445692,0.5592803030303031,0.8367205412068937,3,33.333333333333336,66.66666666666667,0.0,0.0
2022-11-01,2022,11,267,43,46,16.10486891385768,17.228464419475657,0.5901960784313726,1.4821006428690675,5,20.0,80.0,0.0,0.0
2022-12-01,2022,12,267,61,65,22.846441947565545,24.344569288389515,0.7037216828478965,0.9113270867449561,13,84.61538461538461,15.384615384615385,0.0,0.0
2023-01-01,2023,1,267,44,49,16.47940074906367,18.352059925093634,0.5526666666666666,0.8441809796334311,8,25.0,50.0,25.0,0.0
2023-02-01,2023,2,267,42,39,15.730337078651685,14.606741573033707,0.720886075949367,1.4816312820960844,6,16.666666666666668,83.33333333333333,0.0,0.0
2023-03-01,2023,3,267,53,55,19.850187265917604,20.59925093632959,0.8516501650165016,1.7063500763496056,1,0.0,0.0,100.0,0.0
2023-04-01,2023,4,267,63,65,23.59550561797753,24.344569288389515,0.7529166666666666,1.9084578354063289,11,45.45454545454545,27.272727272727273,27.272727272727273,0.0
2023-05-01,2023,5,267,51,40,19.10112359550562,14.9812734082397,0.4166666666666667,0.4909175083453431,0,,,,
2023-06-01,2023,6,267,75,74,28.089887640449437,27.715355805243444,0.9183462532299742,1.5273687275397827,6,83.33333333333333,16.666666666666668,0.0,0.0
2023-07-01,2023,7,267,79,75,29.588014981273407,28.089887640449437,0.9913934426229508,1.817875269115384,10,30.0,60.0,10.0,0.0
2023-08-01,2023,8,267,72,69,26.96629213483146,25.84269662921348,0.705,1.1312346776971012,8,50.0,50.0,0.0,0.0
